127.0.0.1, 2013-01-03 20:14:43, GET, /, HTTP/1.1, 303, 0.000837
127.0.0.1, 2013-01-03 20:14:44, GET, /welcome/default/index, HTTP/1.1, 200, 0.794349
127.0.0.1, 2013-01-03 20:14:44, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000862
127.0.0.1, 2013-01-03 20:14:44, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001568
127.0.0.1, 2013-01-03 20:14:44, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000408
127.0.0.1, 2013-01-03 20:14:44, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000343
127.0.0.1, 2013-01-03 20:14:44, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003083
127.0.0.1, 2013-01-03 20:14:44, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000448
127.0.0.1, 2013-01-03 20:14:44, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000431
127.0.0.1, 2013-01-03 20:14:44, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003106
127.0.0.1, 2013-01-03 20:14:44, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000534
127.0.0.1, 2013-01-03 20:14:44, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000982
127.0.0.1, 2013-01-03 20:14:44, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000626
127.0.0.1, 2013-01-03 20:14:44, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002210
127.0.0.1, 2013-01-03 20:14:44, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.002180
127.0.0.1, 2013-01-03 20:14:45, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000570
127.0.0.1, 2013-01-03 20:14:45, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002225
127.0.0.1, 2013-01-03 20:14:45, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002221
127.0.0.1, 2013-01-03 20:14:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.077336
127.0.0.1, 2013-01-03 20:14:59, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001075
127.0.0.1, 2013-01-03 20:14:59, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000436
127.0.0.1, 2013-01-03 20:14:59, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000569
127.0.0.1, 2013-01-03 20:14:59, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000407
127.0.0.1, 2013-01-03 20:14:59, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.004647
127.0.0.1, 2013-01-03 20:14:59, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002738
127.0.0.1, 2013-01-03 20:14:59, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000329
127.0.0.1, 2013-01-03 20:14:59, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000844
127.0.0.1, 2013-01-03 20:14:59, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000813
127.0.0.1, 2013-01-03 20:14:59, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000631
127.0.0.1, 2013-01-03 20:14:59, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000264
127.0.0.1, 2013-01-03 20:14:59, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.004131
127.0.0.1, 2013-01-03 20:15:00, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000742
127.0.0.1, 2013-01-03 20:15:00, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000602
127.0.0.1, 2013-01-03 20:15:00, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001039
127.0.0.1, 2013-01-03 20:15:00, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000366
127.0.0.1, 2013-01-03 20:51:00, GET, /welcome/default/index, HTTP/1.1, 200, 0.031465
127.0.0.1, 2013-01-03 20:51:03, GET, /admin/default/site, HTTP/1.1, 303, 0.099252
127.0.0.1, 2013-01-03 20:51:04, GET, /admin/default/index, HTTP/1.1, 200, 0.065625
127.0.0.1, 2013-01-03 20:51:04, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001450
127.0.0.1, 2013-01-03 20:51:04, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.002111
127.0.0.1, 2013-01-03 20:51:04, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000931
127.0.0.1, 2013-01-03 20:51:04, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.003602
127.0.0.1, 2013-01-03 20:51:04, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.001466
127.0.0.1, 2013-01-03 20:51:04, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.005302
127.0.0.1, 2013-01-03 20:51:04, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000501
127.0.0.1, 2013-01-03 20:51:04, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000728
127.0.0.1, 2013-01-03 20:51:04, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.001960
